SURFACE;PLAYER;W;L;Ace_Pct;Df_Pct;1st_Serve_Pct;1st_Serve_Won_Pct;2nd_Serve_Won_Pct;Break_Pt_Saved_Pct;Break_Pt_Won_Pct;1st_Serve_Return_Won_Pct;2nd_Serve_Return_Won_Pct;bp_oppy;Games_Played;Rank;Points
Hard;Ivar Jose Aramburu Contreras;0;7;0.008;0.063;0.644;0.549;0.487;0.313;0.316;0.333;0.478;38;7;-;0
Carpet;Benjamin Hannestad;1;0;0.038;0.077;0.615;0.875;0.875;0;0.444;0.409;2;9;1;-;0
Clay;Xi Qi;1;3;0.01;0.039;0.612;0.566;0.444;0.585;0.469;0.389;0.611;32;4;-;0
Hard;Alexander Babanine;7;10;0.034;0.036;0.604;0.649;0.562;0.521;0.459;0.282;0.631;111;17;-;0
Clay;Martin Blasko;3;6;0.043;0.04;0.586;0.658;0.546;0.593;0.317;0.275;0.524;63;9;-;0
Clay;Patrick Davidson;0;1;0.024;0.122;0.439;0.389;0.444;0.615;0;0.333;0.391;3;1;-;0
Clay;Ryan Agar;0;1;0;0.015;0.712;0.574;0.611;0.667;0;0.216;0.353;3;1;-;0
Hard;Tomas Liska;0;3;0.03;0.115;0.576;0.6;0.431;0.417;0;0.092;0.528;3;3;-;0
Hard;Dhakshineswar Suresh;0;3;0.051;0.034;0.662;0.65;0.417;0.516;0.435;0.285;0.628;23;3;-;0
Hard;Ryan Agar;1;5;0.025;0.03;0.638;0.597;0.405;0.564;0.2;0.322;0.505;30;6;-;0
Clay;Samuel Ribeiro Navarrete;1;2;0.029;0.038;0.676;0.577;0.533;0.304;0.421;0.292;0.635;19;3;-;0
Hard;Hugo Di Feo;2;7;0.008;0.082;0.629;0.611;0.517;0.487;0.521;0.301;0.534;48;9;-;0
Clay;Tomas Liska;3;4;0.029;0.093;0.538;0.646;0.516;0.516;0.429;0.341;0.569;49;7;-;0
Clay;Agustin Suarez Gonzalez;0;1;0;0.035;0.649;0.622;0.444;0.333;0.25;0.313;0.348;4;1;-;0
Clay;Arvid Nordquist;0;1;0;0.02;0.686;0.4;0.6;0.444;0;0.185;0.5;4;1;-;0
Clay;Yanais Laurent;0;3;0;0.011;0.599;0.532;0.423;0.517;0.5;0.242;0.533;10;3;-;0
Clay;Daniel Svensson;0;1;0.036;0.073;0.6;0.727;0.167;0.636;0;0.136;0.294;0;1;-;0
Clay;Daniel Orlita;0;1;0.02;0.04;0.525;0.547;0.477;0.563;0.3;0.273;0.475;10;1;-;0
Clay;Dominik Recek;0;1;0.041;0.108;0.527;0.513;0.667;0.4;0.357;0.302;0.655;14;1;-;0
Hard;Anthony Susanto;0;1;0.019;0.019;0.63;0.618;0.421;0.2;0.5;0.333;0.462;2;1;-;0
Clay;Anthony Susanto;0;1;0.042;0.085;0.507;0.583;0.448;0.333;0.333;0.37;0.737;9;1;-;0
Hard;Anurag Nenwani;0;2;0.058;0.053;0.614;0.638;0.526;0.55;0.6;0.26;0.431;5;2;-;0
Clay;Hicham Khaddari;0;4;0.036;0.093;0.538;0.595;0.41;0.429;0.417;0.25;0.585;12;4;-;0
Hard;Nicolas Ancedy;0;1;0;0.075;0.623;0.333;0.563;0.455;0;0.182;0.4;1;1;-;0
Hard;Francis Casey Alcantara;1;3;0.072;0.063;0.515;0.68;0.51;0.417;0.533;0.318;0.552;15;4;-;0
Clay;Francis Casey Alcantara;1;1;0.078;0.052;0.471;0.639;0.548;0.231;0.524;0.404;0.579;21;2;-;0
Clay;Adrian Oetzbach;1;1;0.038;0.03;0.667;0.545;0.375;0.455;0.444;0.357;0.696;18;2;-;0
Hard;Sebastian Quiros;0;1;0.077;0.077;0.5;0.654;0.227;0.5;0;0.32;0.333;5;1;-;0
Clay;William Jamphier Melano Granados;0;1;0;0.103;0.574;0.513;0.5;0.571;0.5;0.19;0.333;2;1;-;0
Clay;Marouane Wasfy;0;2;0.014;0.097;0.5;0.583;0.345;0.273;0.125;0.283;0.5;8;2;-;0
Clay;Javier Nunez;0;3;0;0.099;0.466;0.426;0.474;0.448;0.333;0.182;0.308;3;3;-;0
Hard;Sho Shimabukuro;4;6;0.048;0.052;0.566;0.646;0.509;0.598;0.314;0.357;0.6;102;10;-;0
Hard;Punnakrit Kritakara;0;1;0.045;0.121;0.485;0.5;0.5;0.5;0.286;0.364;0.524;7;1;-;0
Clay;Sem Verbeek;2;2;0.023;0.054;0.577;0.703;0.476;0.368;0.345;0.357;0.527;29;4;-;0
Hard;Sem Verbeek;7;8;0.044;0.047;0.562;0.672;0.544;0.571;0.352;0.326;0.54;108;15;-;0
Clay;Timofey Skatov;0;1;0.024;0.167;0.548;0.391;0.167;0.125;0.25;0.385;0.542;4;1;-;0
Hard;Pedro Vives Marcos;0;1;0.022;0.065;0.587;0.481;0.563;0.333;0.2;0.297;0.536;5;1;-;0
Hard;Korey Lovett;0;1;0.067;0.101;0.427;0.737;0.5;0.455;0.429;0.298;0.531;7;1;-;0
Clay;Fabio Costa;0;1;0.064;0.106;0.617;0.483;0.462;0.545;0.5;0.222;0.375;2;1;-;0
Clay;Giuliano Benedetti;0;1;0;0.043;0.594;0.61;0.36;0.556;0.667;0.179;0.652;3;1;-;0
Hard;Riccardo Maiga;1;3;0.108;0.092;0.554;0.771;0.563;0.529;0.267;0.21;0.48;15;4;-;0
Clay;Riccardo Maiga;1;1;0.046;0.073;0.541;0.627;0.548;0.529;0.615;0.364;0.6;13;2;-;0
Clay;Boris Arias;0;1;0.053;0.092;0.461;0.571;0.618;0.545;0.667;0.29;0.281;3;1;-;0
Hard;Luis Eduardo Morfin Friebel;0;1;0;0.027;0.661;0.568;0.629;0.571;0.429;0.286;0.535;7;1;-;0
Hard;Matic Spec;0;1;0;0.063;0.632;0.633;0.586;0.286;0.455;0.292;0.71;11;1;-;0
Hard;Augusto Virgili;0;2;0.101;0.122;0.532;0.689;0.604;0.571;0.4;0.238;0.404;5;2;-;0
Clay;Augusto Virgili;1;6;0.044;0.094;0.601;0.609;0.482;0.522;0.455;0.253;0.455;22;7;-;0
Hard;Yuga Tashiro;1;5;0.049;0.026;0.682;0.571;0.471;0.395;0.296;0.279;0.5;27;6;-;0
Hard;Boris Arias;2;3;0.051;0.054;0.558;0.65;0.559;0.4;0.56;0.294;0.676;25;5;-;0
Hard;Sang Woo Noh;0;1;0.024;0.143;0.595;0.44;0.182;0.25;0;0.19;0.533;2;1;-;0
Clay;Sebastian Baez;0;1;0.035;0.018;0.614;0.6;0.619;0.4;0;0.167;0.421;3;1;-;0
Hard;Hei Yin Andrew Li;0;2;0.012;0.031;0.553;0.573;0.478;0.5;0.214;0.247;0.463;14;2;-;0
Hard;Nicholas S Hu;1;4;0.067;0.051;0.542;0.728;0.567;0.643;0.313;0.264;0.526;32;5;-;0
Hard;Juan Carlos Spir;3;5;0.074;0.058;0.563;0.749;0.593;0.679;0.381;0.269;0.503;42;8;-;0
Hard;Kevin Boumlil;0;1;0;0.057;0.571;0.675;0.538;0.667;0.5;0.132;0.526;2;1;-;0
Clay;Federico Nicolas Bertucci;0;1;0;0.029;0.676;0.63;0.35;0.5;1;0.192;0.333;1;1;-;0
Hard;Alexandre Girotto;0;1;0;0.1;0.75;0.433;0.167;0.455;0.25;0.258;0.647;4;1;-;0
Clay;Diego Quiroz;0;1;0;0.038;0.481;0.52;0.4;0.333;0.4;0.273;0.542;5;1;-;0
Hard;Cing Yang Meng;0;2;0.012;0.025;0.654;0.604;0.462;0.3;0;0.213;0.29;3;2;-;0
Hard;Tao Mu;0;2;0.024;0.065;0.621;0.623;0.462;0.611;0;0.176;0.407;6;2;-;0
Clay;Juan Carlos Spir;1;7;0.072;0.085;0.538;0.762;0.522;0.5;0.278;0.251;0.534;36;8;-;0
Clay;Alexandre Girotto;1;2;0.017;0.074;0.686;0.566;0.414;0.5;0.556;0.132;0.85;9;3;-;0
Hard;Jonny Omara;1;1;0.042;0.067;0.63;0.683;0.72;0.6;0.5;0.308;0.698;14;2;-;0
Grass;Jonny Omara;5;6;0.088;0.078;0.549;0.77;0.562;0.603;0.537;0.273;0.569;41;11;-;0
Hard;Joshua Charlton;0;1;0.016;0.031;0.641;0.634;0.381;0.556;0.25;0.238;0.529;4;1;-;0
Hard;Tamaki Yamao;0;1;0;0.086;0.643;0.644;0.474;0.5;0.333;0.324;0.452;6;1;-;0
Hard;Naoki Tajima;1;1;0.051;0.046;0.469;0.72;0.624;0.6;0.444;0.282;0.73;18;2;-;0
Hard;Shoma Kato;0;2;0.016;0.031;0.674;0.54;0.395;0.444;0.333;0.26;0.556;6;2;-;0
Hard;Masamichi Imamura;2;2;0.027;0.037;0.67;0.613;0.46;0.429;0.5;0.365;0.648;34;4;-;0
Grass;Aidan Mchugh;0;1;0.034;0.052;0.672;0.641;0.438;0.6;1;0.244;1.182;2;1;-;0
Hard;Aidan Mchugh;0;1;0.11;0.096;0.616;0.667;0.476;0.375;0.375;0.243;0.571;8;1;-;0
Hard;Jack Murray;0;1;0.019;0.056;0.583;0.651;0.385;0.643;0.444;0.293;0.541;9;1;-;0
Clay;Paolo Dagnino;0;2;0.028;0.037;0.569;0.597;0.395;0.385;0.333;0.2;0.568;6;2;-;0
Hard;Mislav Bosnjak;0;4;0.06;0.071;0.625;0.659;0.556;0.571;0.176;0.198;0.679;17;4;-;0
Clay;Florian Valsot;0;1;0.049;0.049;0.59;0.694;0.409;0.4;0;0.308;0.2;1;1;-;0
Hard;Peter Makk;0;1;0.028;0.07;0.606;0.744;0.565;0.714;0;0.262;0.286;2;1;-;0
Clay;Alexandre Rotsaert;0;1;0;0.04;0.61;0.541;0.429;0.696;0.333;0.389;0.5;9;1;-;0
Hard;Tilen Zitnik;0;2;0.043;0.093;0.557;0.654;0.51;0.467;0.625;0.262;0.5;8;2;-;0
Clay;Simon Navarro;1;5;0.013;0.053;0.623;0.591;0.557;0.478;0.632;0.248;0.566;19;6;-;0
Hard;Andrew Ochotta;1;2;0.045;0.083;0.605;0.663;0.408;0.656;0.5;0.209;0.526;8;3;-;0
Grass;Jonathan Binding;1;1;0.049;0.085;0.543;0.663;0.59;0.6;0.538;0.297;0.771;13;2;-;0
Hard;Suraj Beniwal;1;1;0.058;0.048;0.548;0.684;0.643;0.429;0.333;0.234;0.684;12;2;-;0
Clay;Leon Schutt;2;1;0.069;0.023;0.646;0.708;0.552;0.706;0.583;0.339;0.556;12;3;-;0
Grass;Clay Thompson;0;1;0.116;0.209;0.395;0.588;0.588;0.2;0;0.083;0.333;0;1;-;0
Clay;Nenad Vladusic;0;1;0.025;0.152;0.544;0.674;0.5;0.75;0;0.219;0.6;2;1;-;0
Grass;Joshua Paris;0;2;0.044;0.031;0.675;0.63;0.468;0.4;0.385;0.342;0.432;13;2;-;0
Hard;Joshua Paris;1;2;0.072;0.025;0.64;0.742;0.519;0.588;0.417;0.197;0.703;12;3;-;0
Hard;Clay Thompson;15;13;0.121;0.064;0.603;0.746;0.582;0.68;0.402;0.27;0.564;174;28;-;0
Hard;Adam Majchrowicz;0;2;0.175;0.04;0.659;0.795;0.684;0.625;0;0.192;0.264;5;2;-;0
Clay;Adam Majchrowicz;0;6;0.025;0.056;0.555;0.539;0.416;0.426;0.414;0.243;0.607;29;6;-;0
Hard;Maxim Kravtsov;0;1;0;0.077;0.282;0.818;0.4;0;0;0.174;0.35;0;1;-;0
Hard;Mateo Nicolas Martinez;0;2;0.01;0.049;0.657;0.463;0.4;0.313;0.333;0.273;0.512;9;2;-;0
Clay;Mateo Nicolas Martinez;1;2;0.025;0.057;0.586;0.587;0.446;0.35;0.32;0.362;0.661;25;3;-;0
Clay;Vitalii Shcherba;0;2;0.013;0.093;0.533;0.575;0.214;0.444;0.333;0.244;0.409;3;2;-;0
Hard;Vitalii Shcherba;0;3;0.018;0.136;0.58;0.551;0.375;0.433;0.455;0.296;0.556;11;3;-;0
Hard;Mohd Assri Merzuki;1;2;0.055;0.115;0.569;0.618;0.575;0.486;0.526;0.319;0.473;19;3;-;0
Clay;Ryusei Makiguchi;0;5;0.016;0.047;0.644;0.598;0.525;0.56;0.281;0.219;0.61;32;5;-;0
Clay;Martim Leote Prata;1;2;0.01;0.059;0.678;0.568;0.444;0.65;0.455;0.292;0.676;22;3;-;0
Clay;Alex Blumenberg;1;1;0.048;0.096;0.51;0.736;0.561;0.733;0.364;0.372;0.692;11;2;-;0
Hard;Alex Blumenberg;1;1;0.027;0.11;0.521;0.789;0.611;0.765;0.455;0.267;0.889;11;2;-;0
Clay;Hugo Maia;0;1;0;0.133;0.356;0.625;0.348;0.444;1;0.059;0.563;1;1;-;0
Clay;Facundo Jofre;0;2;0;0.145;0.581;0.5;0.294;0.429;0;0.12;0.444;1;2;-;0
Clay;Juan Ignacio Ameal;1;3;0.026;0.041;0.624;0.66;0.535;0.576;0.5;0.301;0.524;26;4;-;0
Hard;Ken Onishi;3;8;0.038;0.028;0.669;0.638;0.498;0.635;0.415;0.303;0.494;53;11;-;0
Clay;Federico Bertuccioli;0;1;0;0.09;0.388;0.577;0.514;0.692;0;0.259;0.421;6;1;-;0
Hard;Mert Zincirli;0;1;0.071;0.086;0.429;0.667;0.559;0.5;0.111;0.15;0.615;9;1;-;0
Hard;Daniil Klimov;0;1;0.059;0.035;0.624;0.623;0.586;0.667;0.5;0.219;0.273;2;1;-;0
Clay;Marin Dumitru;0;1;0;0.143;0.643;0.259;0.333;0.364;0.5;0.222;0.667;2;1;-;0
Clay;Federico Iannaccone;0;2;0;0.038;0.577;0.483;0.575;0.5;0.375;0.296;0.49;8;2;-;0
Clay;Bogdan Pavel;1;1;0.017;0.103;0.573;0.672;0.5;0.4;0.455;0.296;0.667;11;2;-;0
Clay;Andrea Picchione;0;1;0.049;0.033;0.492;0.6;0.448;0.667;0;0.1;0.6;0;1;-;0
Hard;Socrates Leon Tsoronis;0;1;0.038;0.094;0.736;0.538;0.556;0.286;0.375;0.354;0.606;8;1;-;0
Hard;Pavel Selivanovsky;0;1;0;0.184;0.579;0.545;0.333;0.286;0;0.063;0.429;0;1;-;0
Hard;Luc Fomba;0;1;0.058;0.101;0.449;0.613;0.645;0.4;0.111;0.227;0.583;9;1;-;0
Clay;Antonioni Fasano;0;2;0.034;0.069;0.526;0.557;0.383;0.4;0.333;0.308;0.583;12;2;-;0
Hard;Thiago Agustin Tirante;0;1;0;0.113;0.581;0.667;0.579;0.625;0;0.143;0.333;0;1;-;0
Hard;Phongsapak Kerdlaphee;0;1;0.108;0.015;0.662;0.744;0.429;0.6;0;0.161;0.3;1;1;-;0
Hard;Tushar Liberhan;0;1;0.059;0.059;0.647;0.515;0.4;0.583;0.25;0.323;0.471;4;1;-;0
Clay;Thiago Agustin Tirante;0;1;0.013;0.051;0.684;0.519;0.524;0.286;0.571;0.395;0.72;7;1;-;0
Hard;Alex Kobelt;0;4;0.088;0.088;0.487;0.699;0.517;0.548;0.333;0.24;0.416;12;4;-;0
Clay;Nicolas Alberto Arreche;4;5;0.044;0.06;0.58;0.693;0.531;0.614;0.432;0.309;0.576;74;9;-;0
Hard;Mohamed Adnaoui;0;1;0.044;0.147;0.456;0.71;0.444;0.636;0;0.148;0.273;0;1;-;0
Carpet;Hao Yang Hu;0;1;0.016;0.016;0.667;0.571;0.4;0.429;0;0.045;0.429;1;1;-;0
Clay;Mohamed Adnaoui;0;1;0.069;0.121;0.414;0.5;0.519;0.667;0;0.174;0.417;1;1;-;0
Hard;Hao Yang Hu;0;1;0.021;0.042;0.833;0.6;0.333;0.333;0.1;0.326;0.409;10;1;-;0
Clay;Simeon Rossier;0;2;0.054;0.092;0.515;0.657;0.549;0.5;0.2;0.25;0.526;10;2;-;0
Clay;Colin Van Beem;1;3;0.012;0.036;0.527;0.552;0.333;0.357;0.476;0.388;0.575;21;4;-;0
Grass;Mark Whitehouse;2;2;0.12;0.024;0.675;0.674;0.635;0.417;0.563;0.311;0.545;16;4;-;0
Hard;Hanyi Liu;0;3;0.043;0.043;0.577;0.553;0.323;0.464;0.333;0.267;0.365;6;3;-;0
Clay;Marius Ruzgas;0;1;0.029;0.029;0.515;0.686;0.548;0.5;0.167;0.279;0.458;6;1;-;0
Grass;James Marsalek;2;2;0.089;0.046;0.692;0.754;0.513;0.522;0.4;0.311;0.57;30;4;-;0
Hard;James Marsalek;3;7;0.042;0.072;0.582;0.641;0.536;0.542;0.426;0.302;0.63;61;10;-;0
Hard;Rene Schulte;3;2;0.141;0.049;0.51;0.808;0.519;0.655;0.381;0.296;0.483;21;5;-;0
Clay;Admir Kalender;0;1;0.063;0.016;0.453;0.621;0.441;0.667;0;0.16;0.091;0;1;-;0
Hard;Brandon Murphy;0;1;0.023;0.209;0.419;0.722;0.375;0.2;0;0.289;0.45;6;1;-;0
Grass;Brandon Murphy;0;1;0.068;0.081;0.514;0.868;0.533;0.667;0.2;0.22;0.538;5;1;-;0
Clay;Adam Bronka;0;1;0;0.095;0.571;0.556;0.571;0.6;0.333;0.262;0.773;6;1;-;0
Hard;Ewan Moore;0;1;0;0.029;0.721;0.49;0.353;0.647;0.333;0.207;1;6;1;-;0
Hard;Martin Fekiac;0;2;0.077;0.024;0.56;0.649;0.643;0.615;0.333;0.202;0.429;6;2;-;0
Hard;Dong Ju Kim;0;3;0.011;0.038;0.627;0.552;0.435;0.462;0.75;0.289;0.545;8;3;-;0
Clay;Maurizio Speziali;0;1;0.037;0.037;0.37;0.5;0.438;0.545;0;0.231;0.182;0;1;-;0
Clay;Amadatus Admiraal;0;1;0.031;0.094;0.641;0.659;0.353;0.6;0;0.2;0.571;1;1;-;0
Clay;Rrezart Cungu;0;1;0.027;0.108;0.541;0.35;0.462;0.167;0.333;0.333;0.4;3;1;-;0
Hard;Rrezart Cungu;1;1;0.008;0.075;0.602;0.638;0.581;0.4;0.412;0.349;0.66;17;2;-;0
Hard;Ajai Selvaraj;0;1;0.022;0.065;0.435;0.45;0.304;0.571;0;0.167;0.417;1;1;-;0
Hard;Toni Androic;2;8;0.069;0.027;0.517;0.717;0.524;0.575;0.261;0.262;0.583;88;10;-;0
Grass;Adam Thornton Brown;0;1;0.064;0.128;0.447;0.762;0.6;0.571;0;0.118;0.143;0;1;-;0
Clay;Toni Androic;9;19;0.052;0.04;0.523;0.67;0.53;0.571;0.372;0.264;0.595;164;28;-;0
Clay;Alexandr Igoshin;2;5;0.061;0.08;0.499;0.708;0.492;0.42;0.579;0.291;0.748;38;7;-;0
Hard;Alexandr Igoshin;6;12;0.096;0.094;0.54;0.707;0.527;0.515;0.427;0.289;0.596;103;18;-;0
Clay;Rodrigo Sanchez;0;2;0;0.045;0.689;0.538;0.371;0.583;0.571;0.238;0.63;7;2;-;0
Hard;Ken Cavrak;0;2;0.036;0.071;0.564;0.658;0.412;0.565;0.273;0.259;0.66;11;2;-;0
Clay;Naoki Nakagawa;1;4;0.045;0.057;0.496;0.541;0.555;0.406;0.385;0.321;0.52;26;5;-;0
Hard;Naoki Nakagawa;6;14;0.055;0.047;0.562;0.652;0.522;0.592;0.419;0.294;0.599;129;20;-;0
Clay;Adam Nagoudi;0;1;0.016;0.094;0.5;0.625;0.385;0.583;1;0.217;0.474;1;1;-;0
Hard;Corrado Summaria;0;2;0;0.074;0.537;0.647;0.459;0.429;0.333;0.19;0.548;3;2;-;0
Clay;Corrado Summaria;4;4;0.03;0.022;0.638;0.645;0.523;0.583;0.404;0.341;0.512;57;8;-;0
Clay;David Agung Susanto;1;1;0.03;0.05;0.743;0.613;0.548;0.6;0.538;0.357;0.397;13;2;-;0
Hard;David Agung Susanto;1;1;0.046;0.079;0.748;0.628;0.577;0.727;0.389;0.409;0.5;18;2;-;0
Hard;Juan Montes;0;1;0.032;0.258;0.484;0.533;0.125;0.167;0;0.219;0.5;4;1;-;0
Hard;Filip Dolezel;0;1;0.03;0.061;0.455;0.5;0.406;0.684;0.167;0.321;0.5;6;1;-;0
Clay;Juan Montes;1;6;0.017;0.083;0.605;0.565;0.517;0.466;0.574;0.333;0.63;47;7;-;0
Hard;Domagoj Biljesko;0;1;0.095;0.143;0.524;0.727;0.524;0.667;0.5;0.097;0.5;2;1;-;0
Hard;Daniel Kerznerman;1;1;0.034;0.043;0.655;0.566;0.543;0.611;0.538;0.383;0.9;13;2;-;0
Clay;Mile Cilic;0;1;0.026;0.132;0.447;0.588;0.375;0.286;0;0.136;0.462;0;1;-;0
Clay;Ercole Di Ianni;0;1;0;0.044;0.711;0.313;0.545;0.333;0;0.1;0.467;1;1;-;0
Hard;Tyler Mercier;0;1;0.077;0.046;0.615;0.8;0.727;0.5;1;0.19;0.259;1;1;-;0
Clay;Martin Rondina;0;1;0.024;0.048;0.619;0.269;0.571;0.25;0.25;0.36;0.333;4;1;-;0
Clay;Timo Stodder;0;1;0.017;0.026;0.565;0.646;0.66;0.571;0.286;0.271;0.439;7;1;-;0
Hard;Marvin Bernardo Becker Spiering;0;1;0;0.038;0.603;0.638;0.5;0.556;0.235;0.351;0.6;17;1;-;0
Carpet;Jui Chen Hung;0;2;0.075;0.008;0.624;0.614;0.449;0.632;0.667;0.148;0.438;3;2;-;0
Clay;Carlos Ramirez Utermann;0;2;0.007;0.074;0.607;0.512;0.605;0.583;1;0.137;0.606;3;2;-;0
Clay;Marco Di Prima;0;2;0.011;0.178;0.533;0.583;0.346;0.167;0.25;0.246;0.568;8;2;-;0
Clay;Marvin Bernardo Becker Spiering;1;3;0.014;0.065;0.636;0.551;0.563;0.448;0.25;0.324;0.6;28;4;-;0
Hard;Timo Stodder;2;3;0.052;0.05;0.51;0.703;0.497;0.433;0.414;0.257;0.627;29;5;-;0
Hard;Carlos Ramirez Utermann;3;7;0.088;0.049;0.638;0.695;0.509;0.51;0.366;0.201;0.698;41;10;-;0
Hard;Jui Chen Hung;3;12;0.025;0.037;0.677;0.603;0.537;0.517;0.453;0.253;0.529;64;15;-;0
Hard;Marc Rath;0;1;0.069;0.086;0.672;0.769;0.357;0.333;0;0.225;0.389;2;1;-;0
Hard;Andrew Korinek;0;1;0.075;0.038;0.513;0.634;0.5;0.8;0.5;0.171;0.529;2;1;-;0
Clay;Marc Rath;0;2;0.064;0.072;0.584;0.699;0.465;0.571;0;0.25;0.378;7;2;-;0
Hard;Jianhui Li;1;4;0.103;0.05;0.611;0.701;0.529;0.588;0.471;0.255;0.471;17;5;-;0
Clay;Daniiar Duldaev;1;2;0.02;0.056;0.515;0.564;0.536;0.56;0.667;0.267;0.589;9;3;-;0
Hard;Daniiar Duldaev;4;9;0.041;0.035;0.618;0.652;0.526;0.56;0.419;0.264;0.547;62;13;-;0
Clay;Tomas Lipovsek Puches;33;49;0.029;0.047;0.625;0.612;0.506;0.517;0.463;0.354;0.578;575;82;-;0
Hard;Tomas Lipovsek Puches;4;7;0.026;0.05;0.584;0.662;0.517;0.459;0.476;0.332;0.656;84;11;-;0
Clay;Jan Zednik;0;1;0;0.08;0.58;0.414;0.353;0.538;1;0.222;0.375;1;1;-;0
Clay;Ben Patael;2;4;0.058;0.038;0.631;0.65;0.509;0.487;0.435;0.315;0.464;23;6;-;0
Hard;Ben Patael;6;5;0.047;0.044;0.609;0.648;0.589;0.577;0.468;0.308;0.619;77;11;-;0
Hard;Kaysar Bekimov;0;1;0.048;0.048;0.581;0.556;0.435;0.5;0.5;0.286;0.545;2;1;-;0
Hard;Franco Emanuel Egea;0;1;0.048;0.012;0.59;0.714;0.515;0.7;0.286;0.288;0.577;7;1;-;0
Clay;Franco Emanuel Egea;4;4;0.019;0.048;0.61;0.65;0.581;0.545;0.426;0.33;0.553;54;8;-;0
Hard;Soichiro Moritani;1;4;0.036;0.028;0.632;0.593;0.5;0.563;0.436;0.335;0.643;39;5;-;0
Clay;Julian Onken;3;3;0.031;0.034;0.604;0.608;0.54;0.438;0.413;0.38;0.583;46;6;-;0
Hard;Ram Kapach;0;1;0.031;0.063;0.594;0.553;0.545;0.556;0;0.152;0.571;0;1;-;0
Hard;Aoxiong Wang;0;4;0.047;0.03;0.603;0.615;0.413;0.474;0.429;0.267;0.5;21;4;-;0
Clay;Christoffer Solberg;1;1;0.013;0.025;0.675;0.722;0.417;0.5;0.625;0.382;0.385;8;2;-;0
Hard;Christoffer Solberg;1;1;0.037;0.043;0.64;0.728;0.627;0.875;0.429;0.211;0.551;7;2;-;0
Clay;Aoxiong Wang;3;4;0.046;0.041;0.6;0.644;0.496;0.462;0.514;0.304;0.597;37;7;-;0
Hard;Hugo Gaston;0;1;0.073;0.018;0.473;0.615;0.393;0.333;0;0.167;0.375;0;1;-;0
Clay;Jonas Merckx;0;1;0.022;0.133;0.533;0.542;0.567;0.647;0.571;0.436;0.552;7;1;-;0
Clay;Hugo Gaston;0;2;0.038;0.066;0.594;0.587;0.556;0.273;0.154;0.193;0.583;13;2;-;0
Hard;Ruben Alberts;0;2;0.029;0.029;0.628;0.651;0.468;0.714;0.333;0.211;0.419;3;2;-;0
Hard;Jonas Merckx;1;1;0.053;0.073;0.527;0.722;0.517;0.417;0.5;0.387;0.52;18;2;-;0
Clay;Leonardo Civita Telles;0;1;0.103;0.015;0.691;0.617;0.55;0.778;0;0.222;0.231;3;1;-;0
Clay;Ryan Haviland;2;5;0.059;0.091;0.542;0.683;0.563;0.597;0.396;0.342;0.514;53;7;-;0
Hard;Ryan Haviland;13;8;0.096;0.087;0.529;0.763;0.568;0.614;0.454;0.333;0.652;152;21;-;0
Clay;Federico Bonacia;0;1;0.011;0.064;0.511;0.75;0.425;0.75;0.375;0.255;0.548;8;1;-;0
Hard;Paul Kramberger;0;1;0;0.048;0.587;0.459;0.478;0.533;0.333;0.426;0.75;12;1;-;0
Clay;Florian Barth;0;2;0.069;0.042;0.704;0.647;0.354;0.758;0.267;0.264;0.605;15;2;-;0
Hard;Darren K Polkinghorne;3;7;0.044;0.065;0.546;0.642;0.538;0.522;0.423;0.293;0.628;52;10;-;0
Carpet;Ting Yu Chuang;0;1;0.018;0.036;0.691;0.605;0.533;0.7;0;0.042;0.353;0;1;-;0
Hard;Mandresy Rakotomalala;0;1;0.063;0.021;0.563;0.704;0.5;0.25;0;0.176;0.333;0;1;-;0
Clay;Daniel Cukierman;0;1;0.022;0.109;0.652;0.5;0.455;0.286;0;0.227;0.188;1;1;-;0
Hard;Ting Yu Chuang;0;1;0.083;0.036;0.643;0.556;0.593;0.5;0.286;0.219;0.618;7;1;-;0
Hard;Patcharapol Kawin;0;4;0.043;0.09;0.564;0.622;0.425;0.346;0.273;0.174;0.529;11;4;-;0
Hard;Daniel Cukierman;2;4;0.036;0.03;0.641;0.615;0.417;0.489;0.455;0.313;0.566;33;6;-;0
Hard;Ugo Nastasi;1;4;0.024;0.049;0.619;0.633;0.52;0.635;0.304;0.235;0.519;23;5;-;0
Clay;Alexander Mannapov;1;1;0.008;0.062;0.592;0.61;0.578;0.667;0.636;0.279;0.892;11;2;-;0
Hard;Sven Lah;1;2;0.01;0.063;0.67;0.602;0.588;0.565;0.35;0.246;0.662;20;3;-;0
Hard;Marcus Mansson;0;1;0.244;0.037;0.573;0.787;0.406;0.75;0;0.263;0.467;2;1;-;0
Hard;Tristan Meraut;0;2;0.011;0.087;0.446;0.463;0.512;0.429;0;0.125;0.44;1;2;-;0
Clay;Roberto Affonso Neto;1;2;0.037;0.048;0.658;0.561;0.473;0.576;0.4;0.142;0.674;10;3;-;0
Clay;Ayoub Benamar;1;1;0.067;0.08;0.587;0.545;0.68;0.556;0.5;0.293;0.655;10;2;-;0
Grass;Connor Smith;0;1;0.083;0.021;0.667;0.5;0.267;0.5;0;0.05;0.583;0;1;-;0
Hard;George Jecminek;0;1;0.04;0.09;0.54;0.685;0.459;0.733;0.167;0.204;0.538;6;1;-;0
Clay;Connor Smith;0;7;0.047;0.045;0.609;0.615;0.479;0.597;0.323;0.271;0.53;31;7;-;0
