SURFACE;PLAYER;W;L;Ace_Pct;Df_Pct;1st_Serve_Pct;1st_Serve_Won_Pct;2nd_Serve_Won_Pct;Break_Pt_Saved_Pct;Break_Pt_Won_Pct;1st_Serve_Return_Won_Pct;2nd_Serve_Return_Won_Pct;bp_oppy;Games_Played;Rank;Points
Hard;John Millman;116;66;0.058;0.022;0.621;0.703;0.576;0.59;0.451;0.327;0.585;1370;182;38;1083
Grass;Frances Tiafoe;8;7;0.104;0.036;0.619;0.733;0.563;0.652;0.372;0.262;0.502;86;15;39;1080
Clay;Frances Tiafoe;35;20;0.062;0.028;0.625;0.69;0.547;0.583;0.386;0.3;0.561;427;55;39;1080
Hard;Frances Tiafoe;84;71;0.088;0.036;0.607;0.724;0.568;0.631;0.377;0.279;0.568;1120;155;39;1080
Grass;Jeremy Chardy;22;14;0.139;0.041;0.651;0.797;0.611;0.697;0.319;0.238;0.54;216;36;40;1050
Clay;Jeremy Chardy;42;38;0.075;0.045;0.615;0.706;0.555;0.578;0.397;0.313;0.555;585;80;40;1050
Hard;Jeremy Chardy;85;80;0.112;0.059;0.605;0.765;0.588;0.642;0.399;0.269;0.552;992;165;40;1050
Grass;Martin Klizan;2;7;0.069;0.033;0.627;0.715;0.534;0.635;0.237;0.244;0.52;59;9;41;1050
Clay;Martin Klizan;91;44;0.049;0.042;0.588;0.692;0.564;0.601;0.443;0.337;0.587;1062;135;41;1050
Hard;Martin Klizan;59;52;0.066;0.046;0.598;0.699;0.569;0.604;0.403;0.276;0.576;771;111;41;1050
Grass;Adrian Mannarino;39;24;0.068;0.032;0.636;0.714;0.575;0.63;0.461;0.283;0.58;410;63;42;1045
Clay;Adrian Mannarino;19;28;0.037;0.027;0.626;0.648;0.52;0.542;0.397;0.323;0.531;358;47;42;1045
Hard;Adrian Mannarino;138;97;0.064;0.033;0.607;0.71;0.573;0.611;0.426;0.304;0.58;1710;235;42;1045
Grass;Nicolas Jarry;1;4;0.109;0.033;0.654;0.709;0.566;0.617;0.293;0.253;0.493;41;5;43;1022
Clay;Nicolas Jarry;100;65;0.091;0.036;0.638;0.734;0.611;0.642;0.378;0.294;0.534;1040;165;43;1022
Hard;Nicolas Jarry;28;31;0.125;0.036;0.614;0.755;0.583;0.651;0.403;0.247;0.531;300;59;43;1022
Grass;Joao Sousa;12;16;0.05;0.018;0.658;0.725;0.552;0.655;0.339;0.272;0.52;189;28;44;1017
Clay;Joao Sousa;57;55;0.039;0.026;0.612;0.695;0.522;0.576;0.401;0.324;0.534;818;112;44;1017
Hard;Joao Sousa;77;88;0.049;0.031;0.597;0.707;0.541;0.582;0.384;0.288;0.538;1147;165;44;1017
Carpet;Malek Jaziri;1;1;0.104;0.035;0.558;0.834;0.61;0.667;0.5;0.261;0.487;18;2;45;1014
Grass;Malek Jaziri;7;17;0.054;0.05;0.543;0.722;0.543;0.594;0.395;0.234;0.515;124;24;45;1014
Clay;Malek Jaziri;26;29;0.036;0.03;0.535;0.686;0.52;0.621;0.406;0.309;0.579;401;55;45;1014
