Player Name;Weight
Jeson Patrombon;3,5
Jesse Huta Galung;3
Ji Hoon Son;3
Ji Sung Nam;3,5
Jianhui Li;4
Jiaqi Duan;3,2
Jie Cui;4,5
Jimmy Wang;3,5
Jirat Navasirisomboon;3,5
Jiri Lehecka;5,5
Joao Domingues;2,5
Joao Menezes;3,5
Joao Monteiro;3,8
Joao Pedro Sorgi;3,5
Joao Souza;5
Joao Walendowsky;2
Joe Salisbury;2
Joffrey De Schepper;3,5
Johan Nikles;3,5
Johan Sebastien Tatlot;3
Johannes Haerteis;3,5
John Lamble;3,5
John Mcnally;4
John Millman;1
Jonas Eriksson Ziverts;4
Jonas Forejtek;5
Jonas Luetjen;2,5
Jonathan Chang;3,5
Jonathan Eysseric;3,2
Jonathan Gray;4
Jonathan Hilaire;2
Jonathan Ho;2,5
Jonathan Kanar;3,5
Jonathan Mridha;3,5
Jonny Omara;2,5
Jordan Correia Passos Do Carmo;3,5
Jordan Thompson;1,5
Jordi Arconada;3,5
Jordi Munoz Abreu;3,5
Jordi Samper Montana;3,5
Jorge Brian Panta Herreros;3,5
Jorge Hernando Ruano;3
Jorge Montero;3
Joris De Loore;3
Jose Antonio Rodriguez Rodriguez;3
Jose Checa Calvo;1,5
Jose Daniel Bendeck;3,5
Jose Fco Vidal Azorin;3,5
Jose Fernando Carvajal Torres;2
Jose Hernandez;3,2
Jose Olivares;3,5
Jose Pereira;3,5
Jose Rubin Statham;2,5
Joshua Milton;2
Joshua Paris;4
Joshua Peck;4
Josselin Ouanna;1,5
Jozef Kovalik;1
Juan Carlos Saez;3
Juan Carlos Spir;1
Juan Ignacio Galarza;3,5
Juan Ignacio Londero;2,666666667
Juan Lizariturry;3
Juan Manuel Benitez Chavarriaga;3,8
Juan Manuel Cerundolo;5
Juan Manuel Lopez;3
Juan Manuel Matute;2
Juan Montes;2,5
Juan Pablo Ficovich;3,5
Juan Pablo Paz;3,5
Juan Pablo Varillas;3,5
Juan Sebastian Gomez;3,5
Jui Chen Hung;3
Jules Marie;3
Jules Okala;3,5
Julian Bradley;4
Julian Lenz;3,5
Julian Ocleppo;3,5
Julian Onken;3
Julian Zlobinsky;4
Julien Cagnina;3,5
Julien Dubail;2
Julien Obry;2,333333333
Julio Cesar Campozano;1
Jumpei Yamasaki;3,5
Jung Woong Na;3,5
Jurabek Karimov;3,5
Jurgen Zopp;3,5
Jurij Rodionov;4
Justin Boulais;5,5
Justin S Shane;2
Kacper Zuk;4
Kai Breitbach;6
Kai Lemstra;4,5
Kaichi Uchida;3,5
Kaito Itsusaki;4,5
Kaito Uesugi;3,5
Kamil Majchrzak;2,5
Karen Khachanov;1,5
Karim Mohamed Maamoun;3,5
Karl Friberg;4
Karol Beck;2
Karol Drzewiecki;3,5
Karue Sell;5
Karunuday Singh;3,5
Kaza Vinayak Sharma;3,5
Kazuki Nishiwaki;3,8
Kazuma Kawachi;3,5
Keegan Smith;4,5
Kelsey Stevenson;3,5
Ken Onishi;3,5
Ken Onoda;3,5
Kenneth Raisma;3,5
Kento Takeuchi;3,5
Kevin Griekspoor;2,5
Kevin King;3,25
Kevin Krawietz;2,75
Kevin Kylar;2
Khalid Allouch;2,5
Khumoun Sultanov;3,5
Kimmer Coppejans;3,333333333
Kirill Dmitriev;2,5
Kirill Kivattsev;4
Kirill Komarov;2
Kittipong Wachiramanowong;2,5
Ko Suzuki;3,2
Konstantin Kravchuk;4
Kristian Lozan;4,5
Kristijan Mesaros;2,666666667
Kuan Yi Lee;3,5
Kunal Anand;3,5
Kyle Edmund;1
Kyle Seelig;5
Lakshit Sood;2,75
Lamine Ouahab;3
Laslo Djere;2,5
Laurent Lokoli;3,5
Laurent Rochette;3,5
