 PLAYER ; SURFACE ; Rank ; Points ; Games_Played ; W ; L ;   Ace_Pct   ;   Df_Pct   ;   1st_Serve_Pct   ;   1st_Serve_Won_Pct   ;   2nd_Serve_Won_Pct   ;   Break_Pt_Saved_Pct   ;   Break_Pt_Won_Pct   ;   1st_Serve_Return_Won_Pct   ;   2nd_Serve_Return_Won_Pct   
 Dae Hee Lee ; Hard ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,02 ; 0,02 ; 0,64 ; 0,48 ; 0,40 ; 0,44 ; 1,00 ; 0,14 ; 0,36 
 Arnau Dachs ; Hard ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,05 ;  -    ; 0,60 ; 0,53 ; 0,36 ; 0,54 ; 0,38 ; 0,37 ; 0,61 
 Yannick Thivant ; Hard ; - ; -   ; 3,00 ; -   ; 3,00 ; 0,06 ; 0,09 ; 0,53 ; 0,69 ; 0,45 ; 0,48 ; 0,30 ; 0,24 ; 0,49 
 Mohit Mayur Jayaprakash ; Hard ; - ; -   ; 4,00 ; -   ; 4,00 ; 0,05 ; 0,05 ; 0,58 ; 0,61 ; 0,50 ; 0,60 ; 0,29 ; 0,30 ; 0,52 
 Yannick Thivant ; Clay ; - ; -   ; 3,00 ; 1,00 ; 2,00 ;  -    ; 0,03 ; 0,59 ; 0,59 ; 0,32 ; 0,32 ; 0,53 ; 0,33 ; 0,85 
 Daniel Paty ; Clay ; - ; -   ; 2,00 ; -   ; 2,00 ; 0,08 ; 0,05 ; 0,58 ; 0,64 ; 0,46 ; 0,59 ; 0,33 ; 0,21 ; 0,47 
 Devin Mccarthy ; Hard ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,04 ; 0,13 ; 0,40 ; 0,53 ; 0,63 ; 0,44 ; 1,00 ; 0,23 ; 0,67 
 Joe Salisbury ; Grass ; - ; -   ; 8,00 ; 3,00 ; 5,00 ; 0,09 ; 0,03 ; 0,67 ; 0,78 ; 0,55 ; 0,50 ; 0,47 ; 0,29 ; 0,44 
 Joe Salisbury ; Hard ; - ; -   ; 19,00 ; 6,00 ; 13,00 ; 0,07 ; 0,06 ; 0,61 ; 0,67 ; 0,55 ; 0,57 ; 0,41 ; 0,27 ; 0,54 
 Piotr Lomacki ; Clay ; - ; -   ; 2,00 ; 1,00 ; 1,00 ; 0,04 ; 0,08 ; 0,53 ; 0,53 ; 0,56 ; 0,60 ; 0,37 ; 0,44 ; 0,62 
 Felipe Assuncao Garla ; Clay ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,03 ; 0,09 ; 0,56 ; 0,58 ; 0,57 ; 0,69 ; 0,67 ; 0,23 ; 0,67 
 Felipe Assuncao Garla ; Hard ; - ; -   ; 2,00 ; 1,00 ; 1,00 ;  -    ; 0,14 ; 0,50 ; 0,70 ; 0,66 ; 0,50 ; 0,44 ; 0,23 ; 0,62 
 Julien Cagnina ; Hard ; - ; -   ; 7,00 ; 2,00 ; 5,00 ; 0,07 ; 0,07 ; 0,57 ; 0,65 ; 0,59 ; 0,46 ; 0,37 ; 0,30 ; 0,54 
 Jea Moon Lee ; Hard ; - ; -   ; 7,00 ; 2,00 ; 5,00 ; 0,04 ; 0,04 ; 0,58 ; 0,57 ; 0,48 ; 0,48 ; 0,43 ; 0,29 ; 0,64 
 Julien Cagnina ; Clay ; - ; -   ; 21,00 ; 10,00 ; 11,00 ; 0,03 ; 0,07 ; 0,62 ; 0,65 ; 0,56 ; 0,55 ; 0,39 ; 0,36 ; 0,57 
 Matthew Barton ; Carpet ; - ; -   ; 2,00 ; 1,00 ; 1,00 ; 0,15 ; 0,02 ; 0,71 ; 0,78 ; 0,46 ; 0,57 ; 0,33 ; 0,27 ; 0,47 
 Matthew Barton ; Clay ; - ; -   ; 5,00 ; 3,00 ; 2,00 ; 0,14 ; 0,04 ; 0,57 ; 0,75 ; 0,53 ; 0,57 ; 0,39 ; 0,30 ; 0,60 
 Matthew Barton ; Grass ; - ; -   ; 12,00 ; 6,00 ; 6,00 ; 0,15 ; 0,04 ; 0,64 ; 0,79 ; 0,60 ; 0,67 ; 0,32 ; 0,20 ; 0,52 
 Matthew Barton ; Hard ; - ; -   ; 81,00 ; 40,00 ; 41,00 ; 0,14 ; 0,04 ; 0,58 ; 0,76 ; 0,52 ; 0,65 ; 0,39 ; 0,27 ; 0,52 
 Mark Verryth ; Clay ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,09 ; 0,09 ; 0,46 ; 0,65 ; 0,58 ; 0,80 ;  -    ; 0,23 ; 0,40 
 Menelaos Efstathiou ; Hard ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,02 ; 0,03 ; 0,67 ; 0,64 ; 0,50 ; 0,60 ; 0,73 ; 0,29 ; 0,64 
 Mark Verryth ; Hard ; - ; -   ; 14,00 ; 7,00 ; 7,00 ; 0,12 ; 0,07 ; 0,60 ; 0,76 ; 0,58 ; 0,66 ; 0,34 ; 0,26 ; 0,55 
 Eros Siringo ; Clay ; - ; -   ; 2,00 ; -   ; 2,00 ; 0,01 ; 0,04 ; 0,69 ; 0,49 ; 0,33 ; 0,44 ; 0,33 ; 0,29 ; 0,35 
 Aleksandre Metreveli ; Clay ; - ; -   ; 7,00 ; 2,00 ; 5,00 ; 0,01 ; 0,07 ; 0,58 ; 0,64 ; 0,54 ; 0,58 ; 0,29 ; 0,32 ; 0,55 
 Aleksandre Metreveli ; Hard ; - ; -   ; 15,00 ; 4,00 ; 11,00 ; 0,05 ; 0,05 ; 0,61 ; 0,65 ; 0,53 ; 0,49 ; 0,41 ; 0,23 ; 0,52 
 Taha Baadi ; Hard ; - ; -   ; 5,00 ; 2,00 ; 3,00 ; 0,06 ; 0,04 ; 0,57 ; 0,67 ; 0,55 ; 0,56 ; 0,24 ; 0,26 ; 0,65 
 Soufiane El Mesbahi ; Hard ; - ; -   ; 1,00 ; -   ; 1,00 ;  -    ; 0,15 ; 0,51 ; 0,57 ; 0,36 ;  -    ; 0,33 ; 0,28 ; 0,43 
 Juan Pablo Paz ; Hard ; - ; -   ; 6,00 ; 2,00 ; 4,00 ; 0,08 ; 0,05 ; 0,62 ; 0,71 ; 0,50 ; 0,53 ; 0,36 ; 0,27 ; 0,57 
 Juan Pablo Paz ; Clay ; - ; -   ; 70,00 ; 32,00 ; 38,00 ; 0,05 ; 0,04 ; 0,58 ; 0,69 ; 0,55 ; 0,58 ; 0,43 ; 0,32 ; 0,55 
 Mert Alkaya ; Clay ; - ; -   ; 1,00 ; -   ; 1,00 ;  -    ; 0,04 ; 0,65 ; 0,49 ; 0,41 ; 0,40 ; 0,40 ; 0,19 ; 0,68 
 Yurii Dzhavakian ; Hard ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,13 ; 0,11 ; 0,58 ; 0,66 ; 0,53 ; 0,67 ;  -    ; 0,04 ; 0,35 
 Justin Boulais ; Hard ; - ; -   ; 5,00 ; 2,00 ; 3,00 ; 0,04 ; 0,07 ; 0,52 ; 0,65 ; 0,57 ; 0,60 ; 0,46 ; 0,30 ; 0,53 
 Patrick Grigoriu ; Clay ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,07 ; 0,09 ; 0,46 ; 0,78 ; 0,63 ; 0,60 ;  -    ; 0,14 ; 0,44 
 Andrew Carter ; Clay ; - ; -   ; 5,00 ; 1,00 ; 4,00 ; 0,02 ; 0,05 ; 0,54 ; 0,59 ; 0,52 ; 0,51 ; 0,50 ; 0,30 ; 0,58 
 Patrick Grigoriu ; Hard ; - ; -   ; 2,00 ; 1,00 ; 1,00 ; 0,04 ; 0,03 ; 0,73 ; 0,60 ; 0,43 ; 0,50 ; 0,40 ; 0,22 ; 0,66 
 Andrew Carter ; Hard ; - ; -   ; 23,00 ; 5,00 ; 18,00 ; 0,02 ; 0,04 ; 0,57 ; 0,59 ; 0,48 ; 0,48 ; 0,48 ; 0,30 ; 0,55 
 Erik Crepaldi ; Clay ; - ; -   ; 30,00 ; 9,00 ; 21,00 ; 0,02 ; 0,04 ; 0,66 ; 0,60 ; 0,52 ; 0,49 ; 0,48 ; 0,29 ; 0,59 
 Erik Crepaldi ; Hard ; - ; -   ; 55,00 ; 22,00 ; 33,00 ; 0,03 ; 0,03 ; 0,66 ; 0,63 ; 0,57 ; 0,56 ; 0,42 ; 0,27 ; 0,59 
 Simon Cauvard ; Hard ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,05 ;  -    ; 0,56 ; 0,54 ; 0,37 ;  -    ;  -    ; 0,22 ; 0,23 
 Jaume Martinez Vich ; Hard ; - ; -   ; 1,00 ; -   ; 1,00 ;  -    ; 0,04 ; 0,68 ; 0,62 ; 0,38 ; 0,33 ;  -    ; 0,23 ; 0,70 
 Alexander Knight ; Hard ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,07 ; 0,09 ; 0,55 ; 0,59 ; 0,38 ; 0,58 ; 1,00 ; 0,22 ; 0,46 
 Philipp Scholz ; Grass ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,05 ; 0,07 ; 0,57 ; 0,64 ; 0,38 ; 0,33 ;  -    ; 0,23 ; 0,57 
 Suren Vartanyan ; Clay ; - ; -   ; 1,00 ; -   ; 1,00 ;  -    ; 0,02 ; 0,76 ; 0,42 ; 0,50 ; 0,29 ;  -    ; 0,13 ; 0,39 
 Julian Zlobinsky ; Hard ; - ; -   ; 8,00 ; 4,00 ; 4,00 ; 0,07 ; 0,06 ; 0,52 ; 0,70 ; 0,54 ; 0,62 ; 0,45 ; 0,25 ; 0,59 
 Sanchai Ratiwatana ; Grass ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,08 ; 0,02 ; 0,77 ; 0,83 ; 0,54 ; 0,67 ;  -    ; 0,16 ; 0,47 
 Junior Ore ; Hard ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,19 ; 0,07 ; 0,58 ; 0,72 ; 0,67 ; 0,40 ;  -    ; 0,09 ; 0,67 
 Sebastian Lavie ; Grass ; - ; -   ; 1,00 ; -   ; 1,00 ;  -    ; 0,04 ; 0,53 ; 0,46 ; 0,52 ; 0,20 ;  -    ; 0,17 ; 0,31 
 Aqeel Khan ; Clay ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,02 ; 0,03 ; 0,52 ; 0,54 ; 0,54 ; 0,57 ; 0,25 ; 0,21 ; 0,55 
 Ettore Capello ; Clay ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,04 ; 0,09 ; 0,48 ; 0,58 ; 0,60 ; 0,64 ; 1,00 ; 0,24 ; 0,46 
 Simon Ede ; Hard ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,02 ; 0,02 ; 0,62 ; 0,50 ; 0,42 ; 0,29 ; 1,00 ; 0,17 ; 0,40 
 Marcelo Amador ; Clay ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,02 ; 0,08 ; 0,61 ; 0,55 ; 0,57 ; 0,50 ; 0,40 ; 0,30 ; 0,74 
 George Tsivadze ; Clay ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,04 ; 0,06 ; 0,62 ; 0,56 ; 0,46 ; 0,72 ; 0,22 ; 0,28 ; 0,67 
 Moritz Baumann ; Hard ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,02 ; 0,02 ; 0,61 ; 0,67 ; 0,50 ; 0,43 ; 0,40 ; 0,20 ; 0,71 
 Thanh Trung Hoang ; Hard ; - ; -   ; 1,00 ; -   ; 1,00 ;  -    ;  -    ; 0,84 ; 0,51 ; 0,46 ; 0,58 ; 0,67 ; 0,41 ; 0,39 
 Francisco Dias ; Hard ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,06 ; 0,09 ; 0,57 ; 0,64 ; 0,61 ; 0,43 ; 0,29 ; 0,35 ; 0,40 
 Junior Ore ; Clay ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,02 ; 0,12 ; 0,54 ; 0,64 ; 0,67 ; 0,64 ; 1,00 ; 0,31 ; 0,42 
 Francisco Dias ; Clay ; - ; -   ; 2,00 ; -   ; 2,00 ; 0,01 ; 0,13 ; 0,51 ; 0,62 ; 0,45 ; 0,42 ; 0,55 ; 0,32 ; 0,66 
